STATIONID,NAME,RIVERNAME,DISTRICT,STATION,DATE,TIME,DateTime,LEVEL(m),CUMMRF,DAILYRF,NormalLevel,AlertLevel,WarningLevel,DangerLevel,Level,GEOCODE,Day,Month,CUMMRF1
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,9:15 AM,6/9/2021 9:15,50.02,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,1264
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,9:30 AM,6/9/2021 9:30,50.02,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,9:45 AM,6/9/2021 9:45,50.01,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,10:00 AM,6/9/2021 10:00,50.01,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,10:15 AM,6/9/2021 10:15,50.01,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,10:30 AM,6/9/2021 10:30,50.01,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,10:45 AM,6/9/2021 10:45,50.01,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,11:00 AM,6/9/2021 11:00,50.01,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,11:15 AM,6/9/2021 11:15,50.01,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,11:30 AM,6/9/2021 11:30,50.05,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,11:45 AM,6/9/2021 11:45,50.07,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,12:00 PM,6/9/2021 12:00,50.11,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,12:15 PM,6/9/2021 12:15,50.11,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,12:30 PM,6/9/2021 12:30,50.12,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,12:45 PM,6/9/2021 12:45,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,1:00 PM,6/9/2021 13:00,50.12,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,1:15 PM,6/9/2021 13:15,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,1:30 PM,6/9/2021 13:30,50.12,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,1:45 PM,6/9/2021 13:45,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,2:30 PM,6/9/2021 14:30,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,2:45 PM,6/9/2021 14:45,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,3:00 PM,6/9/2021 15:00,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,3:15 PM,6/9/2021 15:15,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,3:30 PM,6/9/2021 15:30,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,3:45 PM,6/9/2021 15:45,50.14,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,4:00 PM,6/9/2021 16:00,50.15,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,4:15 PM,6/9/2021 16:15,50.15,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,4:45 PM,6/9/2021 16:45,50.15,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,5:00 PM,6/9/2021 17:00,50.15,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,5:15 PM,6/9/2021 17:15,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,5:45 PM,6/9/2021 17:45,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,6:00 PM,6/9/2021 18:00,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,6:15 PM,6/9/2021 18:15,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,6:45 PM,6/9/2021 18:45,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,7:00 PM,6/9/2021 19:00,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,7:15 PM,6/9/2021 19:15,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,7:45 PM,6/9/2021 19:45,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
3516424,Sg Selangor di Ampang Pecah,Sg Selangor,Hulu Selangor,Ampang Pecah,6/9/2021,8:00 PM,6/9/2021 20:00,50.16,524,0,50.1,51.3,51.48,51.9,Normal,"3.544156,101.65546",9,6,
